i_id,i_n,j_id,j_n,alpha,mu
1,100,1,100,0.5,25.8367596323026
1,100,2,100,0.3,23.252301832836135
1,100,3,100,0.1,20.633315985044305
2,100,1,100,-0.1,18.322486195430916
2,100,2,100,-0.3,16.48968313333604
2,100,3,100,-0.5,14.632394034119514
3,100,1,100,-0.7,11.69892109072586
3,100,2,100,-0.9,10.52867498106915
3,100,3,100,-1.1,9.342794531312737
4,100,1,100,-0.7,11.698921090829517
4,100,2,100,-0.9,10.52867498105604
4,100,3,100,-1.1,9.34279453106883
1,100,0,,0,30.277622549838185
2,100,0,,0,50.55543663711457
3,100,0,,0,68.4296093968329
4,100,0,,0,68.42960939703609
0,,1,100,0,32.44291199070816
0,,2,100,0,39.2006650717108
0,,3,100,0,46.0487009184319
