i_id,i_n,j_id,j_n,alpha
1,33,1,33,1.1893953
1,33,2,0,-.46479756
1,33,3,30,-.01060468
1,33,4,17,.8893953
1,33,5,50,.23520246
1,33,6,34,-.01060468
1,33,7,20,-.31060469
1,33,8,10,-.71060467
1,33,9,2,.48939529
1,33,10,27,-.31060469
1,33,11,32,-.71060467
1,33,12,40,-.01060468
1,33,13,22,-.31060469
1,33,14,28,-.01060468
1,33,15,16,-.71060467
1,33,16,16,-.06479755
1,33,17,18,-.01060468
1,33,18,48,1.1893953
1,33,19,23,-.01060468
1,33,20,33,.23520246
2,0,1,33,-.06479755
2,0,2,0,.8893953
2,0,3,30,-.31060469
2,0,4,17,-.06479755
2,0,5,50,.8893953
2,0,6,34,-.31060469
2,0,7,20,-.31060469
2,0,8,10,-.31060469
2,0,9,2,-.06479755
2,0,10,27,-.31060469
2,0,11,32,-.31060469
2,0,12,40,-.31060469
2,0,13,22,-.31060469
2,0,14,28,-.31060469
2,0,15,16,-.31060469
2,0,16,16,.8893953
2,0,17,18,-.31060469
2,0,18,48,-.06479755
2,0,19,23,-.31060469
2,0,20,33,.8893953
3,30,1,33,-.01060468
3,30,2,0,-.71060467
3,30,3,30,1.1893953
3,30,4,17,-.31060469
3,30,5,50,-.01060468
3,30,6,34,.23520246
3,30,7,20,.8893953
3,30,8,10,.48939529
3,30,9,2,-.71060467
3,30,10,27,-.31060469
3,30,11,32,-.71060467
3,30,12,40,1.1893953
3,30,13,22,-.06479755
3,30,14,28,.23520246
3,30,15,16,-.46479756
3,30,16,16,-.31060469
3,30,17,18,-.01060468
3,30,18,48,-.01060468
3,30,19,23,-.01060468
3,30,20,33,-.01060468
4,17,1,33,.8893953
4,17,2,0,-.26479757
4,17,3,30,-.31060469
4,17,4,17,.8893953
4,17,5,50,.13520245
4,17,6,34,-.11060469
4,17,7,20,-.31060469
4,17,8,10,-.51060468
4,17,9,2,.68939531
4,17,10,27,-.31060469
4,17,11,32,-.51060468
4,17,12,40,-.11060469
4,17,13,22,-.31060469
4,17,14,28,-.31060469
4,17,15,16,-.51060468
4,17,16,16,-.06479755
4,17,17,18,-.11060469
4,17,18,48,1.0893953
4,17,19,23,-.31060469
4,17,20,33,-.06479755
5,50,1,33,.33520246
5,50,2,0,.3893953
5,50,3,30,.089395314
5,50,4,17,-.06479755
5,50,5,50,1.7893953
5,50,6,34,.58939528
5,50,7,20,-.31060469
5,50,8,10,-.81060469
5,50,9,2,-.56479752
5,50,10,27,-.31060469
5,50,11,32,-.81060469
5,50,12,40,.58939528
5,50,13,22,-.31060469
5,50,14,28,.089395314
5,50,15,16,-.81060469
5,50,16,16,.8893953
5,50,17,18,.58939528
5,50,18,48,.83520246
5,50,19,23,.089395314
5,50,20,33,1.2893953
6,34,1,33,.089395314
6,34,2,0,-.81060469
6,34,3,30,.33520246
6,34,4,17,-.31060469
6,34,5,50,.58939528
6,34,6,34,1.7893953
6,34,7,20,-.06479755
6,34,8,10,-.56479752
6,34,9,2,-.81060469
6,34,10,27,-.31060469
6,34,11,32,-.81060469
6,34,12,40,.83520246
6,34,13,22,.8893953
6,34,14,28,1.2893953
6,34,15,16,.3893953
6,34,16,16,-.31060469
6,34,17,18,.58939528
6,34,18,48,.58939528
6,34,19,23,.089395314
6,34,20,33,.089395314
7,20,1,33,-.31060469
7,20,2,0,-.51060468
7,20,3,30,.8893953
7,20,4,17,-.31060469
7,20,5,50,-.11060469
7,20,6,34,.13520245
7,20,7,20,.8893953
7,20,8,10,.68939531
7,20,9,2,-.51060468
7,20,10,27,-.31060469
7,20,11,32,-.51060468
7,20,12,40,1.0893953
7,20,13,22,-.06479755
7,20,14,28,-.06479755
7,20,15,16,-.26479757
7,20,16,16,-.31060469
7,20,17,18,-.11060469
7,20,18,48,-.11060469
7,20,19,23,-.31060469
7,20,20,33,-.31060469
8,10,1,33,-.31060469
8,10,2,0,-.31060469
8,10,3,30,.8893953
8,10,4,17,-.31060469
8,10,5,50,-.31060469
8,10,6,34,-.06479755
8,10,7,20,.8893953
8,10,8,10,.8893953
8,10,9,2,-.31060469
8,10,10,27,-.31060469
8,10,11,32,-.31060469
8,10,12,40,.8893953
8,10,13,22,-.06479755
8,10,14,28,-.06479755
8,10,15,16,-.06479755
8,10,16,16,-.31060469
8,10,17,18,-.31060469
8,10,18,48,-.31060469
8,10,19,23,-.31060469
8,10,20,33,-.31060469
9,2,1,33,.8893953
9,2,2,0,-.06479755
9,2,3,30,-.31060469
9,2,4,17,.8893953
9,2,5,50,-.06479755
9,2,6,34,-.31060469
9,2,7,20,-.31060469
9,2,8,10,-.31060469
9,2,9,2,.8893953
9,2,10,27,-.31060469
9,2,11,32,-.31060469
9,2,12,40,-.31060469
9,2,13,22,-.31060469
9,2,14,28,-.31060469
9,2,15,16,-.31060469
9,2,16,16,-.06479755
9,2,17,18,-.31060469
9,2,18,48,.8893953
9,2,19,23,-.31060469
9,2,20,33,-.06479755
10,27,1,33,-.31060469
10,27,2,0,-.51060468
10,27,3,30,-.31060469
10,27,4,17,-.31060469
10,27,5,50,-.11060469
10,27,6,34,-.11060469
10,27,7,20,-.31060469
10,27,8,10,-.51060468
10,27,9,2,-.51060468
10,27,10,27,.8893953
10,27,11,32,.68939531
10,27,12,40,-.11060469
10,27,13,22,-.31060469
10,27,14,28,-.31060469
10,27,15,16,-.51060468
10,27,16,16,-.31060469
10,27,17,18,1.0893953
10,27,18,48,-.11060469
10,27,19,23,.8893953
10,27,20,33,-.31060469
11,32,1,33,-.31060469
11,32,2,0,-.31060469
11,32,3,30,-.31060469
11,32,4,17,-.31060469
11,32,5,50,-.31060469
11,32,6,34,-.31060469
11,32,7,20,-.31060469
11,32,8,10,-.31060469
11,32,9,2,-.31060469
11,32,10,27,.8893953
11,32,11,32,.8893953
11,32,12,40,-.31060469
11,32,13,22,-.31060469
11,32,14,28,-.31060469
11,32,15,16,-.31060469
11,32,16,16,-.31060469
11,32,17,18,.8893953
11,32,18,48,-.31060469
11,32,19,23,.8893953
11,32,20,33,-.31060469
12,40,1,33,.089395314
12,40,2,0,-.81060469
12,40,3,30,1.2893953
12,40,4,17,-.31060469
12,40,5,50,.58939528
12,40,6,34,.83520246
12,40,7,20,.8893953
12,40,8,10,.3893953
12,40,9,2,-.81060469
12,40,10,27,-.31060469
12,40,11,32,-.81060469
12,40,12,40,1.7893953
12,40,13,22,-.06479755
12,40,14,28,.33520246
12,40,15,16,-.56479752
12,40,16,16,-.31060469
12,40,17,18,.58939528
12,40,18,48,.58939528
12,40,19,23,.089395314
12,40,20,33,.089395314
13,22,1,33,-.31060469
13,22,2,0,-.51060468
13,22,3,30,-.06479755
13,22,4,17,-.31060469
13,22,5,50,-.11060469
13,22,6,34,1.0893953
13,22,7,20,-.06479755
13,22,8,10,-.26479757
13,22,9,2,-.51060468
13,22,10,27,-.31060469
13,22,11,32,-.51060468
13,22,12,40,.13520245
13,22,13,22,.8893953
13,22,14,28,.8893953
13,22,15,16,.68939531
13,22,16,16,-.31060469
13,22,17,18,-.11060469
13,22,18,48,-.11060469
13,22,19,23,-.31060469
13,22,20,33,-.31060469
14,28,1,33,-.01060468
14,28,2,0,-.71060467
14,28,3,30,.23520246
14,28,4,17,-.31060469
14,28,5,50,-.01060468
14,28,6,34,1.1893953
14,28,7,20,-.06479755
14,28,8,10,-.46479756
14,28,9,2,-.71060467
14,28,10,27,-.31060469
14,28,11,32,-.71060467
14,28,12,40,.23520246
14,28,13,22,.8893953
14,28,14,28,1.1893953
14,28,15,16,.48939529
14,28,16,16,-.31060469
14,28,17,18,-.01060468
14,28,18,48,-.01060468
14,28,19,23,-.01060468
14,28,20,33,-.01060468
15,16,1,33,-.31060469
15,16,2,0,-.31060469
15,16,3,30,-.06479755
15,16,4,17,-.31060469
15,16,5,50,-.31060469
15,16,6,34,.8893953
15,16,7,20,-.06479755
15,16,8,10,-.06479755
15,16,9,2,-.31060469
15,16,10,27,-.31060469
15,16,11,32,-.31060469
15,16,12,40,-.06479755
15,16,13,22,.8893953
15,16,14,28,.8893953
15,16,15,16,.8893953
15,16,16,16,-.31060469
15,16,17,18,-.31060469
15,16,18,48,-.31060469
15,16,19,23,-.31060469
15,16,20,33,-.31060469
16,16,1,33,-.06479755
16,16,2,0,.68939531
16,16,3,30,-.31060469
16,16,4,17,-.06479755
16,16,5,50,1.0893953
16,16,6,34,-.11060469
16,16,7,20,-.31060469
16,16,8,10,-.51060468
16,16,9,2,-.26479757
16,16,10,27,-.31060469
16,16,11,32,-.51060468
16,16,12,40,-.11060469
16,16,13,22,-.31060469
16,16,14,28,-.31060469
16,16,15,16,-.51060468
16,16,16,16,.8893953
16,16,17,18,-.11060469
16,16,18,48,.13520245
16,16,19,23,-.31060469
16,16,20,33,.8893953
17,18,1,33,.089395314
17,18,2,0,-.81060469
17,18,3,30,.089395314
17,18,4,17,-.31060469
17,18,5,50,.58939528
17,18,6,34,.58939528
17,18,7,20,-.31060469
17,18,8,10,-.81060469
17,18,9,2,-.81060469
17,18,10,27,.8893953
17,18,11,32,.3893953
17,18,12,40,.58939528
17,18,13,22,-.31060469
17,18,14,28,.089395314
17,18,15,16,-.81060469
17,18,16,16,-.31060469
17,18,17,18,1.7893953
17,18,18,48,.58939528
17,18,19,23,1.2893953
17,18,20,33,.089395314
18,48,1,33,1.2893953
18,48,2,0,-.56479752
18,48,3,30,.089395314
18,48,4,17,.8893953
18,48,5,50,.83520246
18,48,6,34,.58939528
18,48,7,20,-.31060469
18,48,8,10,-.81060469
18,48,9,2,.3893953
18,48,10,27,-.31060469
18,48,11,32,-.81060469
18,48,12,40,.58939528
18,48,13,22,-.31060469
18,48,14,28,.089395314
18,48,15,16,-.81060469
18,48,16,16,-.06479755
18,48,17,18,.58939528
18,48,18,48,1.7893953
18,48,19,23,.089395314
18,48,20,33,.33520246
19,23,1,33,-.01060468
19,23,2,0,-.71060467
19,23,3,30,-.01060468
19,23,4,17,-.31060469
19,23,5,50,-.01060468
19,23,6,34,-.01060468
19,23,7,20,-.31060469
19,23,8,10,-.71060467
19,23,9,2,-.71060467
19,23,10,27,.8893953
19,23,11,32,.48939529
19,23,12,40,-.01060468
19,23,13,22,-.31060469
19,23,14,28,-.01060468
19,23,15,16,-.71060467
19,23,16,16,-.31060469
19,23,17,18,1.1893953
19,23,18,48,-.01060468
19,23,19,23,1.1893953
19,23,20,33,-.01060468
20,33,1,33,.23520246
20,33,2,0,.48939529
20,33,3,30,-.01060468
20,33,4,17,-.06479755
20,33,5,50,1.1893953
20,33,6,34,-.01060468
20,33,7,20,-.31060469
20,33,8,10,-.71060467
20,33,9,2,-.46479756
20,33,10,27,-.31060469
20,33,11,32,-.71060467
20,33,12,40,-.01060468
20,33,13,22,-.31060469
20,33,14,28,-.01060468
20,33,15,16,-.71060467
20,33,16,16,.8893953
20,33,17,18,-.01060468
20,33,18,48,.23520246
20,33,19,23,-.01060468
20,33,20,33,1.1893953
1,33,0,,0
2,0,0,,0
3,30,0,,0
4,17,0,,0
5,50,0,,0
6,34,0,,0
7,20,0,,0
8,10,0,,0
9,2,0,,0
10,27,0,,0
11,32,0,,0
12,40,0,,0
13,22,0,,0
14,28,0,,0
15,16,0,,0
16,16,0,,0
17,18,0,,0
18,48,0,,0
19,23,0,,0
20,33,0,,0
0,,1,33,0
0,,2,0,0
0,,3,30,0
0,,4,17,0
0,,5,50,0
0,,6,34,0
0,,7,20,0
0,,8,10,0
0,,9,2,0
0,,10,27,0
0,,11,32,0
0,,12,40,0
0,,13,22,0
0,,14,28,0
0,,15,16,0
0,,16,16,0
0,,17,18,0
0,,18,48,0
0,,19,23,0
0,,20,33,0
