i_id,i_n,j_id,j_n,alpha
1,29,1,23,-.26479757
1,29,2,22,-.11060469
1,29,3,25,-.31060469
1,29,4,41,-.11060469
1,29,5,30,-.11060469
1,29,6,24,-.31060469
1,29,7,38,-.11060469
1,29,8,27,-.31060469
1,29,9,19,-.31060469
1,29,10,13,-.51060468
1,29,11,32,-.31060469
1,29,12,12,-.51060468
2,27,1,23,-.06479755
2,27,2,22,-.31060469
2,27,3,25,-.31060469
2,27,4,41,-.31060469
2,27,5,30,-.31060469
2,27,6,24,-.31060469
2,27,7,38,-.31060469
2,27,8,27,-.31060469
2,27,9,19,-.31060469
2,27,10,13,-.31060469
2,27,11,32,-.31060469
2,27,12,12,-.31060469
3,31,1,23,-.46479756
3,31,2,22,-.01060468
3,31,3,25,-.01060468
3,31,4,41,-.01060468
3,31,5,30,-.01060468
3,31,6,24,-.31060469
3,31,7,38,-.01060468
3,31,8,27,-.01060468
3,31,9,19,-.31060469
3,31,10,13,-.71060467
3,31,11,32,-.01060468
3,31,12,12,-.71060467
4,24,1,23,-.06479755
4,24,2,22,-.31060469
4,24,3,25,-.31060469
4,24,4,41,-.31060469
4,24,5,30,-.31060469
4,24,6,24,-.31060469
4,24,7,38,-.31060469
4,24,8,27,-.31060469
4,24,9,19,-.31060469
4,24,10,13,-.31060469
4,24,11,32,-.31060469
4,24,12,12,-.31060469
5,43,1,23,-.81060469
5,43,2,22,.58939528
5,43,3,25,.089395314
5,43,4,41,.58939528
5,43,5,30,.58939528
5,43,6,24,-.31060469
5,43,7,38,.58939528
5,43,8,27,.089395314
5,43,9,19,-.06479755
5,43,10,13,-.56479752
5,43,11,32,1.2893953
5,43,12,12,-.56479752
6,26,1,23,-.71060467
6,26,2,22,-.01060468
6,26,3,25,-.01060468
6,26,4,41,-.01060468
6,26,5,30,-.01060468
6,26,6,24,-.31060469
6,26,7,38,-.01060468
6,26,8,27,-.01060468
6,26,9,19,-.06479755
6,26,10,13,-.46479756
6,26,11,32,.23520246
6,26,12,12,-.46479756
1,29,0,,0
2,27,0,,0
3,31,0,,0
4,24,0,,0
5,43,0,,0
6,26,0,,0
0,,1,23,0
0,,2,22,0
0,,3,25,0
0,,4,41,0
0,,5,30,0
0,,6,24,0
0,,7,38,0
0,,8,27,0
0,,9,19,0
0,,10,13,0
0,,11,32,0
0,,12,12,0
