i_id,i_n,j_id,j_n,start_mu_ij,alpha
1,29,1,25,2.5236423,-.06479755
1,29,2,17,2.5417986,.13520245
1,29,3,19,2.2000604,-.06479755
1,29,4,23,1.9818135,-.26479757
1,29,5,18,2.1413815,-.06479755
1,29,6,22,2.2613893,-.11060469
1,29,7,25,1.9736725,-.31060469
1,29,8,26,2.012759,-.31060469
1,29,9,41,3.0871372,-.11060469
1,29,10,30,2.6407337,-.11060469
1,29,11,24,1.9337963,-.31060469
1,29,12,38,2.9720478,-.11060469
1,29,13,27,2.0511007,-.31060469
1,29,14,40,3.0492568,-.11060469
1,29,15,19,1.7206079,-.31060469
1,29,16,13,1.1652467,-.51060468
1,29,17,7,.8550573,-.51060468
1,29,18,8,.91409469,-.51060468
1,29,19,32,2.2329557,-.31060469
1,29,20,34,2.8112757,-.11060469
1,29,21,9,.96954387,-.51060468
1,29,22,12,1.1195328,-.51060468
2,29,1,25,9.7756643,1.2893953
2,29,2,17,5.1185536,.83520246
2,29,3,19,3.2821043,.33520246
2,29,4,23,1.4681636,-.56479752
2,29,5,18,3.1945658,.33520246
2,29,6,22,4.5538788,.58939528
2,29,7,25,2.9443734,.089395314
2,29,8,26,2.012759,-.31060469
2,29,9,41,6.2167306,.58939528
2,29,10,30,5.3177848,.58939528
2,29,11,24,1.9337963,-.31060469
2,29,12,38,5.9849691,.58939528
2,29,13,27,3.0598826,.089395314
2,29,14,40,6.1404486,.58939528
2,29,15,19,1.7206079,-.31060469
2,29,16,13,.86323595,-.81060469
2,29,17,7,.63344204,-.81060469
2,29,18,8,.67717803,-.81060469
2,29,19,32,3.3311784,.089395314
2,29,20,34,5.6612139,.58939528
2,29,21,9,.71825576,-.81060469
2,29,22,12,.82937032,-.81060469
3,27,1,25,2.4350655,-.06479755
3,27,2,17,3.1021183,.37014514
3,27,3,19,2.1228409,-.06479755
3,27,4,23,2.3356328,-.06479755
3,27,5,18,2.0662217,-.06479755
3,27,6,22,1.7864847,-.31060469
3,27,7,25,1.9043992,-.31060469
3,27,8,26,1.9421138,-.31060469
3,27,9,41,2.4388208,-.31060469
3,27,10,30,2.0861647,-.31060469
3,27,11,24,1.8659225,-.31060469
3,27,12,38,2.3479009,-.31060469
3,27,13,27,1.9791096,-.31060469
3,27,14,40,2.4088955,-.31060469
3,27,15,19,1.6602167,-.31060469
3,27,16,13,1.3732817,-.31060469
3,27,17,7,1.0077133,-.31060469
3,27,18,8,1.0772909,-.31060469
3,27,19,32,2.1545818,-.31060469
3,27,20,34,2.220892,-.31060469
3,27,21,9,1.1426395,-.31060469
3,27,22,12,1.3194064,-.31060469
4,28,1,25,2.4797494,-.06479755
4,28,2,17,2.0448537,-.06479755
4,28,3,19,2.1617954,-.06479755
4,28,4,23,2.3784921,-.06479755
4,28,5,18,2.1041372,-.06479755
4,28,6,22,1.819267,-.31060469
4,28,7,25,1.9393452,-.31060469
4,28,8,26,1.9777517,-.31060469
4,28,9,41,2.4835737,-.31060469
4,28,10,30,2.1244462,-.31060469
4,28,11,24,1.9001625,-.31060469
4,28,12,38,2.3909853,-.31060469
4,28,13,27,2.0154266,-.31060469
4,28,14,40,2.4530993,-.31060469
4,28,15,19,1.6906819,-.31060469
4,28,16,13,1.3984817,-.31060469
4,28,17,7,1.0262051,-.31060469
4,28,18,8,1.0970592,-.31060469
4,28,19,32,2.1941185,-.31060469
4,28,20,34,2.2616458,-.31060469
4,28,21,9,1.1636071,-.31060469
4,28,22,12,1.3436178,-.31060469
5,31,1,25,3.5220699,.23520246
5,31,2,17,2.9043734,.23520246
5,31,3,19,3.0704694,.23520246
5,31,4,23,1.6775897,-.46479756
5,31,5,18,2.9885755,.23520246
5,31,6,22,2.5839651,-.01060468
5,31,7,25,2.7545159,-.01060468
5,31,8,26,2.0810075,-.31060469
5,31,9,41,3.5275016,-.01060468
5,31,10,30,3.017421,-.01060468
5,31,11,24,1.9993672,-.31060469
5,31,12,38,3.3959954,-.01060468
5,31,13,27,2.862577,-.01060468
5,31,14,40,3.4842176,-.01060468
5,31,15,19,1.77895,-.31060469
5,31,16,13,.98637223,-.71060467
5,31,17,7,.72379935,-.71060467
5,31,18,8,.77377403,-.71060467
5,31,19,32,3.116379,-.01060468
5,31,20,34,3.21229,-.01060468
5,31,21,9,.82071131,-.71060467
5,31,22,12,.94767576,-.71060467
6,24,1,25,2.2958019,-.06479755
6,24,2,17,1.8931668,-.06479755
6,24,3,19,2.0014336,-.06479755
6,24,4,23,2.2020557,-.06479755
6,24,5,18,1.9480525,-.06479755
6,24,6,22,1.684314,-.31060469
6,24,7,25,1.7954848,-.31060469
6,24,8,26,1.8310424,-.31060469
6,24,9,41,2.2993424,-.31060469
6,24,10,30,1.966855,-.31060469
6,24,11,24,1.7592086,-.31060469
6,24,12,38,2.2136223,-.31060469
6,24,13,27,1.8659225,-.31060469
6,24,14,40,2.2711284,-.31060469
6,24,15,19,1.5652673,-.31060469
6,24,16,13,1.2947425,-.31060469
6,24,17,7,.95008123,-.31060469
6,24,18,8,1.0156796,-.31060469
6,24,19,32,2.0313592,-.31060469
6,24,20,34,2.0938771,-.31060469
6,24,21,9,1.0772909,-.31060469
6,24,22,12,1.2439483,-.31060469
7,30,1,25,3.4647968,.23520246
7,30,2,17,2.8571446,.23520246
7,30,3,19,3.0205398,.23520246
7,30,4,23,1.65031,-.46479756
7,30,5,18,2.9399776,.23520246
7,30,6,22,2.5419466,-.01060468
7,30,7,25,2.7097242,-.01060468
7,30,8,26,2.0471675,-.31060469
7,30,9,41,3.47014,-.01060468
7,30,10,30,2.968354,-.01060468
7,30,11,24,1.966855,-.31060469
7,30,12,38,3.3407722,-.01060468
7,30,13,27,2.8160279,-.01060468
7,30,14,40,3.4275601,-.01060468
7,30,15,19,1.7500221,-.31060469
7,30,16,13,.97033256,-.71060467
7,30,17,7,.71202946,-.71060467
7,30,18,8,.76119149,-.71060467
7,30,19,32,3.0657029,-.01060468
7,30,20,34,3.1600542,-.01060468
7,30,21,9,.80736554,-.71060467
7,30,22,12,.9322654,-.71060467
8,25,1,25,2.7337821,.089395314
8,25,2,17,3.7167692,.58939528
8,25,3,19,2.383256,.089395314
8,25,4,23,1.0660874,-.81060469
8,25,5,18,2.3196909,.089395314
8,25,6,22,5.4063625,.83520246
8,25,7,25,3.4955585,.33520246
8,25,8,26,2.3895464,-.06479755
8,25,9,41,7.3804994,.83520246
8,25,10,30,6.313271,.83520246
8,25,11,24,2.2958019,-.06479755
8,25,12,38,7.1053524,.83520246
8,25,13,27,3.6326911,.33520246
8,25,14,40,5.7012634,.58939528
8,25,15,19,1.5975443,-.31060469
8,25,16,13,.80149448,-.81060469
8,25,17,7,.58813614,-.81060469
8,25,18,8,.62874401,-.81060469
8,25,19,32,3.0929215,.089395314
8,25,20,34,5.2563052,.58939528
8,25,21,9,.66688371,-.81060469
8,25,22,12,.770051,-.81060469
9,19,1,25,1.5975443,-.31060469
9,19,2,17,1.6090379,-.11060469
9,19,3,19,1.3927068,-.31060469
9,19,4,23,1.2545499,-.51060468
9,19,5,18,1.3555613,-.31060469
9,19,6,22,2.3404849,.13520245
9,19,7,25,2.0427046,-.06479755
9,19,8,26,2.0831583,-.06479755
9,19,9,41,3.1951144,.13520245
9,19,10,30,2.7330973,.13520245
9,19,11,24,2.0014336,-.06479755
9,19,12,38,3.0759997,.13520245
9,19,13,27,2.1228409,-.06479755
9,19,14,40,2.4681513,-.11060469
9,19,15,19,1.3927068,-.31060469
9,19,16,13,.94318241,-.51060468
9,19,17,7,.69210666,-.51060468
9,19,18,8,.73989314,-.51060468
9,19,19,32,1.807415,-.31060469
9,19,20,34,2.2755232,-.11060469
9,19,21,9,.7847752,-.51060468
9,19,22,12,.90618032,-.51060468
10,22,1,25,1.7190458,-.31060469
10,22,2,17,1.7314135,-.11060469
10,22,3,19,1.4986293,-.31060469
10,22,4,23,1.3499649,-.51060468
10,22,5,18,1.4586587,-.31060469
10,22,6,22,2.5184908,.13520245
10,22,7,25,2.1980629,-.06479755
10,22,8,26,2.2415931,-.06479755
10,22,9,41,3.4381194,.13520245
10,22,10,30,2.9409635,.13520245
10,22,11,24,2.1536531,-.06479755
10,22,12,38,3.3099453,.13520245
10,22,13,27,2.2842941,-.06479755
10,22,14,40,2.6558671,-.11060469
10,22,15,19,1.4986293,-.31060469
10,22,16,13,1.0149163,-.51060468
10,22,17,7,.74474496,-.51060468
10,22,18,8,.79616582,-.51060468
10,22,19,32,1.9448782,-.31060469
10,22,20,34,2.4485884,-.11060469
10,22,21,9,.84446138,-.51060468
10,22,22,12,.97510004,-.51060468
11,21,1,25,1.6795222,-.31060469
11,21,2,17,1.6916056,-.11060469
11,21,3,19,1.4641736,-.31060469
11,21,4,23,1.318927,-.51060468
11,21,5,18,1.4251218,-.31060469
11,21,6,22,1.9243585,-.11060469
11,21,7,25,1.6795222,-.31060469
11,21,8,26,1.7127833,-.31060469
11,21,9,41,2.6270392,-.11060469
11,21,10,30,2.2471666,-.11060469
11,21,11,24,1.645589,-.31060469
11,21,12,38,2.5291026,-.11060469
11,21,13,27,1.7454107,-.31060469
11,21,14,40,3.3178544,.13520245
11,21,15,19,1.8721697,-.06479755
11,21,16,13,1.2678889,-.26479757
11,21,17,7,.93037611,-.26479757
11,21,18,8,.99461389,-.26479757
11,21,19,32,2.9800479,.1393953
11,21,20,34,3.0589106,.13520245
11,21,21,9,1.0549474,-.26479757
11,21,22,12,1.2181482,-.26479757
12,55,1,25,4.0548544,.089395314
12,55,2,17,5.5128593,.58939528
12,55,3,19,3.53494,.089395314
12,55,4,23,1.5812631,-.81060469
12,55,5,18,3.4406579,.089395314
12,55,6,22,6.27139,.58939528
12,55,7,25,4.0548544,.089395314
12,55,8,26,2.771878,-.31060469
12,55,9,41,8.5613918,.58939528
12,55,10,30,7.3234057,.58939528
12,55,11,24,2.6631343,-.31060469
12,55,12,38,8.2422209,.58939528
12,55,13,27,4.2139282,.089395314
12,55,14,40,10.812725,.83520246
12,55,15,19,3.0298207,-.06479755
12,55,16,13,1.5200734,-.56479752
12,55,17,7,1.1154289,-.56479752
12,55,18,8,1.1924437,-.56479752
12,55,19,32,7.060142,.52051574
12,55,20,34,9.9688396,.83520246
12,55,21,9,1.2647775,-.56479752
12,55,22,12,1.4604393,-.56479752
13,43,1,25,3.5853217,.089395314
13,43,2,17,4.8744969,.58939528
13,43,3,19,3.1256111,.089395314
13,43,4,23,1.3981605,-.81060469
13,43,5,18,3.0422463,.089395314
13,43,6,22,5.5451932,.58939528
13,43,7,25,3.5853217,.089395314
13,43,8,26,2.4509079,-.31060469
13,43,9,41,7.5700245,.58939528
13,43,10,30,6.4753904,.58939528
13,43,11,24,2.3547561,-.31060469
13,43,12,38,7.2878118,.58939528
13,43,13,27,3.7259755,.089395314
13,43,14,40,9.5606632,.83520246
13,43,15,19,2.678982,-.06479755
13,43,16,13,1.3440562,-.56479752
13,43,17,7,.98626769,-.56479752
13,43,18,8,1.0543644,-.56479752
13,43,19,32,13.467484,1.2893953
13,43,20,34,8.814496,.83520246
13,43,21,9,1.1183224,-.56479752
13,43,22,12,1.2913275,-.56479752
14,15,1,25,1.4194553,-.31060469
14,15,2,17,1.4296676,-.11060469
14,15,3,19,1.2374525,-.31060469
14,15,4,23,1.1146967,-.51060468
14,15,5,18,1.2044477,-.31060469
14,15,6,22,1.6263797,-.11060469
14,15,7,25,1.4194553,-.31060469
14,15,8,26,1.447566,-.31060469
14,15,9,41,2.2202535,-.11060469
14,15,10,30,1.8992023,-.11060469
14,15,11,24,1.3907765,-.31060469
14,15,12,38,2.1374817,-.11060469
14,15,13,27,1.4751413,-.31060469
14,15,14,40,2.8040988,.13520245
14,15,15,19,1.5822723,-.06479755
14,15,16,13,1.0715617,-.26479757
14,15,17,7,.78631133,-.26479757
14,15,18,8,1.2986249,.17014514
14,15,19,32,2.7612913,.23139048
14,15,20,34,2.5852513,.13520245
14,15,21,9,.89159322,-.26479757
14,15,22,12,1.0295231,-.26479757
15,26,1,25,2.5226159,-.01060468
15,26,2,17,2.0802023,-.01060468
15,26,3,19,2.1991656,-.01060468
15,26,4,23,1.2015419,-.71060467
15,26,5,18,2.1405106,-.01060468
15,26,6,22,2.3664234,-.01060468
15,26,7,25,2.5226159,-.01060468
15,26,8,26,1.9058093,-.31060469
15,26,9,41,3.2305245,-.01060468
15,26,10,30,2.7633872,-.01060468
15,26,11,24,1.8310424,-.31060469
15,26,12,38,3.1100898,-.01060468
15,26,13,27,2.6215794,-.01060468
15,26,14,40,4.0800343,.23520246
15,26,15,19,2.0831583,-.06479755
15,26,16,13,1.1550461,-.46479756
15,26,17,7,.84757215,-.46479756
15,26,18,8,.90609276,-.46479756
15,26,19,32,3.6492934,.23520246
15,26,20,34,3.7616057,.23520246
15,26,21,9,1.3652275,-.11375445
15,26,22,12,1.1097324,-.46479756
1,29,0,,5.8000002,0
2,29,0,,5.8000002,0
3,27,0,,5.4000001,0
4,28,0,,5.5999999,0
5,31,0,,6.1999998,0
6,24,0,,4.8000002,0
7,30,0,,6,0
8,25,0,,5,0
9,19,0,,3.8,0
10,22,0,,4.4000001,0
11,21,0,,4.1999998,0
12,55,0,,11,0
13,43,0,,8.6000004,0
14,15,0,,3,0
15,26,0,,5.1999998,0
0,,1,25,5,0
0,,2,17,3.4000001,0
0,,3,19,3.8,0
0,,4,23,4.5999999,0
0,,5,18,3.5999999,0
0,,6,22,4.4000001,0
0,,7,25,5,0
0,,8,26,5.1999998,0
0,,9,41,8.1999998,0
0,,10,30,6,0
0,,11,24,4.8000002,0
0,,12,38,7.5999999,0
0,,13,27,5.4000001,0
0,,14,40,8,0
0,,15,19,3.8,0
0,,16,13,2.5999999,0
0,,17,7,1.4,0
0,,18,8,1.6,0
0,,19,32,6.4000001,0
0,,20,34,6.8000002,0
0,,21,9,1.8,0
0,,22,12,2.4000001,0
