i_id,i_n,j_id,j_n,alpha
1,29,1,25,-.06479755
1,29,2,17,.13520245
1,29,3,19,-.06479755
1,29,4,23,-.26479757
1,29,5,18,-.06479755
1,29,6,22,-.11060469
1,29,7,25,-.31060469
1,29,8,26,-.31060469
1,29,9,41,-.11060469
1,29,10,30,-.11060469
1,29,11,24,-.31060469
1,29,12,38,-.11060469
1,29,13,27,-.31060469
1,29,14,40,-.11060469
1,29,15,19,-.31060469
1,29,16,13,-.51060468
1,29,17,7,-.51060468
1,29,18,8,-.51060468
1,29,19,32,-.31060469
1,29,20,34,-.11060469
1,29,21,9,-.51060468
1,29,22,12,-.51060468
2,29,1,25,1.2893953
2,29,2,17,.83520246
2,29,3,19,.33520246
2,29,4,23,-.56479752
2,29,5,18,.33520246
2,29,6,22,.58939528
2,29,7,25,.089395314
2,29,8,26,-.31060469
2,29,9,41,.58939528
2,29,10,30,.58939528
2,29,11,24,-.31060469
2,29,12,38,.58939528
2,29,13,27,.089395314
2,29,14,40,.58939528
2,29,15,19,-.31060469
2,29,16,13,-.81060469
2,29,17,7,-.81060469
2,29,18,8,-.81060469
2,29,19,32,.089395314
2,29,20,34,.58939528
2,29,21,9,-.81060469
2,29,22,12,-.81060469
3,27,1,25,-.06479755
3,27,2,17,.37014514
3,27,3,19,-.06479755
3,27,4,23,-.06479755
3,27,5,18,-.06479755
3,27,6,22,-.31060469
3,27,7,25,-.31060469
3,27,8,26,-.31060469
3,27,9,41,-.31060469
3,27,10,30,-.31060469
3,27,11,24,-.31060469
3,27,12,38,-.31060469
3,27,13,27,-.31060469
3,27,14,40,-.31060469
3,27,15,19,-.31060469
3,27,16,13,-.31060469
3,27,17,7,-.31060469
3,27,18,8,-.31060469
3,27,19,32,-.31060469
3,27,20,34,-.31060469
3,27,21,9,-.31060469
3,27,22,12,-.31060469
4,28,1,25,-.06479755
4,28,2,17,-.06479755
4,28,3,19,-.06479755
4,28,4,23,-.06479755
4,28,5,18,-.06479755
4,28,6,22,-.31060469
4,28,7,25,-.31060469
4,28,8,26,-.31060469
4,28,9,41,-.31060469
4,28,10,30,-.31060469
4,28,11,24,-.31060469
4,28,12,38,-.31060469
4,28,13,27,-.31060469
4,28,14,40,-.31060469
4,28,15,19,-.31060469
4,28,16,13,-.31060469
4,28,17,7,-.31060469
4,28,18,8,-.31060469
4,28,19,32,-.31060469
4,28,20,34,-.31060469
4,28,21,9,-.31060469
4,28,22,12,-.31060469
5,31,1,25,.23520246
5,31,2,17,.23520246
5,31,3,19,.23520246
5,31,4,23,-.46479756
5,31,5,18,.23520246
5,31,6,22,-.01060468
5,31,7,25,-.01060468
5,31,8,26,-.31060469
5,31,9,41,-.01060468
5,31,10,30,-.01060468
5,31,11,24,-.31060469
5,31,12,38,-.01060468
5,31,13,27,-.01060468
5,31,14,40,-.01060468
5,31,15,19,-.31060469
5,31,16,13,-.71060467
5,31,17,7,-.71060467
5,31,18,8,-.71060467
5,31,19,32,-.01060468
5,31,20,34,-.01060468
5,31,21,9,-.71060467
5,31,22,12,-.71060467
6,24,1,25,-.06479755
6,24,2,17,-.06479755
6,24,3,19,-.06479755
6,24,4,23,-.06479755
6,24,5,18,-.06479755
6,24,6,22,-.31060469
6,24,7,25,-.31060469
6,24,8,26,-.31060469
6,24,9,41,-.31060469
6,24,10,30,-.31060469
6,24,11,24,-.31060469
6,24,12,38,-.31060469
6,24,13,27,-.31060469
6,24,14,40,-.31060469
6,24,15,19,-.31060469
6,24,16,13,-.31060469
6,24,17,7,-.31060469
6,24,18,8,-.31060469
6,24,19,32,-.31060469
6,24,20,34,-.31060469
6,24,21,9,-.31060469
6,24,22,12,-.31060469
7,30,1,25,.23520246
7,30,2,17,.23520246
7,30,3,19,.23520246
7,30,4,23,-.46479756
7,30,5,18,.23520246
7,30,6,22,-.01060468
7,30,7,25,-.01060468
7,30,8,26,-.31060469
7,30,9,41,-.01060468
7,30,10,30,-.01060468
7,30,11,24,-.31060469
7,30,12,38,-.01060468
7,30,13,27,-.01060468
7,30,14,40,-.01060468
7,30,15,19,-.31060469
7,30,16,13,-.71060467
7,30,17,7,-.71060467
7,30,18,8,-.71060467
