i_id,i_n,j_id,j_n,alpha
1,33,1,33,.8893953
1,33,2,51,-.31060469
1,33,3,21,-.31060469
1,33,4,19,.8893953
1,33,5,3,-.31060469
1,33,6,1,-.31060469
1,33,7,23,-.31060469
1,33,8,17,-.31060469
1,33,9,41,-.31060469
1,33,10,11,-.31060469
1,33,11,49,-.31060469
1,33,12,17,-.31060469
1,33,13,24,.8893953
1,33,14,34,-.31060469
1,33,15,29,-.31060469
1,33,16,28,.8893953
1,33,17,18,-.31060469
1,33,18,31,-.31060469
1,33,19,34,-.31060469
1,33,20,35,-.31060469
2,51,1,33,-.81060469
2,51,2,51,1.7893953
2,51,3,21,-.31060469
2,51,4,19,.58939528
2,51,5,3,-.56479752
2,51,6,1,.3893953
2,51,7,23,-.31060469
2,51,8,17,-.81060469
2,51,9,41,.58939528
2,51,10,11,-.81060469
2,51,11,49,.83520246
2,51,12,17,.8893953
2,51,13,24,.089395314
2,51,14,34,1.2893953
2,51,15,29,.089395314
2,51,16,28,-.31060469
2,51,17,18,-.06479755
2,51,18,31,.089395314
2,51,19,34,.33520246
2,51,20,35,.58939528
3,21,1,33,-.51060468
3,21,2,51,-.11060469
3,21,3,21,.8893953
3,21,4,19,-.11060469
3,21,5,3,-.51060468
3,21,6,1,-.51060468
3,21,7,23,-.06479755
3,21,8,17,-.26479757
3,21,9,41,1.0893953
3,21,10,11,.68939531
3,21,11,49,-.11060469
3,21,12,17,-.31060469
3,21,13,24,-.31060469
3,21,14,34,-.31060469
3,21,15,29,-.06479755
3,21,16,28,-.31060469
3,21,17,18,-.31060469
3,21,18,31,.8893953
3,21,19,34,-.31060469
3,21,20,35,.13520245
4,19,1,33,.3893953
4,19,2,51,.58939528
4,19,3,21,-.31060469
4,19,4,19,1.7893953
4,19,5,3,-.81060469
4,19,6,1,-.81060469
4,19,7,23,-.31060469
4,19,8,17,-.81060469
4,19,9,41,.58939528
4,19,10,11,-.81060469
4,19,11,49,.58939528
4,19,12,17,-.31060469
4,19,13,24,1.2893953
4,19,14,34,.089395314
4,19,15,29,.089395314
4,19,16,28,.8893953
4,19,17,18,-.31060469
4,19,18,31,.089395314
4,19,19,34,.089395314
4,19,20,35,.58939528
5,3,1,33,-.31060469
5,3,2,51,-.06479755
5,3,3,21,-.31060469
5,3,4,19,-.31060469
5,3,5,3,.8893953
5,3,6,1,-.06479755
5,3,7,23,-.31060469
5,3,8,17,-.31060469
5,3,9,41,-.31060469
5,3,10,11,-.31060469
5,3,11,49,.8893953
5,3,12,17,-.06479755
5,3,13,24,-.31060469
5,3,14,34,-.06479755
5,3,15,29,-.31060469
5,3,16,28,-.31060469
5,3,17,18,.8893953
5,3,18,31,-.31060469
5,3,19,34,.8893953
5,3,20,35,-.31060469
6,1,1,33,-.31060469
6,1,2,51,.8893953
6,1,3,21,-.31060469
6,1,4,19,-.31060469
6,1,5,3,-.06479755
6,1,6,1,.8893953
6,1,7,23,-.31060469
6,1,8,17,-.31060469
6,1,9,41,-.31060469
6,1,10,11,-.31060469
6,1,11,49,-.06479755
6,1,12,17,.8893953
6,1,13,24,-.31060469
6,1,14,34,.8893953
6,1,15,29,-.31060469
6,1,16,28,-.31060469
6,1,17,18,-.06479755
6,1,18,31,-.31060469
6,1,19,34,-.06479755
6,1,20,35,-.31060469
7,23,1,33,-.51060468
7,23,2,51,-.11060469
7,23,3,21,-.06479755
7,23,4,19,-.11060469
7,23,5,3,-.51060468
7,23,6,1,-.51060468
7,23,7,23,.8893953
7,23,8,17,.68939531
7,23,9,41,.13520245
7,23,10,11,-.26479757
7,23,11,49,-.11060469
7,23,12,17,-.31060469
7,23,13,24,-.31060469
7,23,14,34,-.31060469
7,23,15,29,.8893953
7,23,16,28,-.31060469
7,23,17,18,-.31060469
7,23,18,31,-.06479755
7,23,19,34,-.31060469
7,23,20,35,1.0893953
8,17,1,33,-.31060469
8,17,2,51,-.31060469
8,17,3,21,-.06479755
8,17,4,19,-.31060469
8,17,5,3,-.31060469
8,17,6,1,-.31060469
8,17,7,23,.8893953
8,17,8,17,.8893953
8,17,9,41,-.06479755
8,17,10,11,-.06479755
8,17,11,49,-.31060469
8,17,12,17,-.31060469
8,17,13,24,-.31060469
8,17,14,34,-.31060469
8,17,15,29,.8893953
8,17,16,28,-.31060469
8,17,17,18,-.31060469
8,17,18,31,-.06479755
8,17,19,34,-.31060469
8,17,20,35,.8893953
9,41,1,33,-.81060469
9,41,2,51,.58939528
9,41,3,21,.8893953
9,41,4,19,.58939528
9,41,5,3,-.81060469
9,41,6,1,-.81060469
9,41,7,23,-.06479755
9,41,8,17,-.56479752
