i_id,i_n,j_id,j_n,alpha,mu
1,100,1,100,0.5,27.31262465527005
1,100,2,100,0.3,24.191178005283962
1,100,3,100,0.1,21.159560806973797
2,100,1,100,-0.1,19.749849863956957
2,100,2,100,-0.3,17.49272139960198
2,100,3,100,-0.5,15.300548905230103
3,100,1,100,-0.7,12.781815980075413
3,100,2,100,-0.9,11.321035223790584
3,100,3,100,-1.1,9.902293047397874
1,100,0,,,27.336636532479833
2,100,0,,,47.45687983120817
3,100,0,,,65.99485574868174
0,,1,100,,40.15570950070201
0,,2,100,,46.99506537132462
0,,3,100,,53.63759724038812
