i_id,i_n,j_id,j_n,alpha,mu
1,33,1,33,.8893953,5.6934839083072895
1,33,2,51,-.31060469,1.3843098698989653
1,33,3,21,-.31060469,0.920689129451949
1,33,4,19,.8893953,1.9189703677791246
1,33,5,3,-.31060469,0.19657022890027787
1,33,6,1,-.31060469,0.06725456571761122
1,33,7,23,-.31060469,0.9958186132887863
1,33,8,17,-.31060469,0.967841649545598
1,33,9,41,-.31060469,1.137137262755056
1,33,10,11,-.31060469,0.6584571634682634
1,33,11,49,-.31060469,1.3333112354767611
1,33,12,17,-.31060469,0.7704628391932132
1,33,13,24,.8893953,2.9296660141845408
1,33,14,34,-.31060469,1.1866986652404592
1,33,15,29,-.31060469,1.0200296672593514
1,33,16,28,.8893953,4.006580602381899
1,33,17,18,-.31060469,0.8088217124965582
1,33,18,31,-.31060469,1.0849507085701156
1,33,19,34,-.31060469,1.1838870468678322
1,33,20,35,-.31060469,0.9848943341003931
2,51,1,33,-.81060469,1.110539866428669
2,51,2,51,1.7893953,12.07003123432853
2,51,3,21,-.31060469,0.9830365973271937
2,51,4,19,.58939528,1.5178770207857581
2,51,5,3,-.56479752,0.16277206415458578
2,51,6,1,.3893953,0.144605421801342
2,51,7,23,-.31060469,1.0632537192496347
2,51,8,17,-.81060469,0.6267779900123626
2,51,9,41,.58939528,2.9863078972123818
2,51,10,11,-.81060469,0.42641940199788425
2,51,11,49,.83520246,4.477194198403285
2,51,12,17,.8893953,2.7312518069518203
2,51,13,24,.089395314,1.4055270380538962
2,51,14,34,1.2893953,6.275788391613303
2,51,15,29,.089395314,1.6247527050976633
2,51,16,28,-.31060469,1.2884785146068198
2,51,17,18,-.06479755,1.1042366480334858
2,51,18,31,.089395314,1.7281620870726306
2,51,19,34,.33520246,2.411223243397644
2,51,20,35,.58939528,2.58649313867158
3,21,1,33,-.51060468,0.9125110422203614
3,21,2,51,-.11060469,1.098916030460177
3,21,3,21,.8893953,1.9867292526794007
3,21,4,19,-.11060469,0.45882395900997724
3,21,5,3,-.51060468,0.10459987085437747
3,21,6,1,-.51060468,0.03578781450164671
3,21,7,23,-.06479755,0.8275709190470845
3,21,8,17,-.26479757,0.6585221444490034
3,21,9,41,1.0893953,2.9970739467736136
3,21,10,11,.68939531,1.1633069043120021
3,21,11,49,-.11060469,1.0584314409063738
3,21,12,17,-.31060469,0.5007535003088798
3,21,13,24,-.31060469,0.5735047721929365
3,21,14,34,-.31060469,0.7712812094263948
3,21,15,29,-.06479755,0.8476914148061937
3,21,16,28,-.31060469,0.7843191287049317
3,21,17,18,-.31060469,0.5256844107920755
3,21,18,31,.8893953,2.3411847077140795
3,21,19,34,-.31060469,0.7694538302589583
3,21,20,35,.13520245,0.999708804343443
4,19,1,33,.3893953,1.5813879627853367
4,19,2,51,.58939528,1.5592146554602198
4,19,3,21,-.31060469,0.4216194016814928
4,19,4,19,1.7893953,2.1614285035879144
4,19,5,3,-.81060469,0.0545981685082652
4,19,6,1,-.81060469,0.018680225039892313
4,19,7,23,-.31060469,0.4560241176824108
4,19,8,17,-.81060469,0.26882189519154204
4,19,9,41,.58939528,1.2808122833704914
4,19,10,11,-.81060469,0.18288911483514964
4,19,11,49,.58939528,1.5017724454979644
4,19,12,17,-.31060469,0.3528249339403332
4,19,13,24,1.2893953,2.0014441603117272
4,19,14,34,.089395314,0.8107105422925776
4,19,15,29,.089395314,0.6968481796773426
4,19,16,28,.8893953,1.8347692639430622
4,19,17,18,-.31060469,0.37039095562341695
4,19,18,31,.089395314,0.7411999381724814
4,19,19,34,.089395314,0.8087897440964065
4,19,20,35,.58939528,1.1093337649330983
5,3,1,33,-.31060469,0.17988396093986236
5,3,2,51,-.06479755,0.18567512210717857
5,3,3,21,-.31060469,0.09657856179841262
5,3,4,19,-.31060469,0.06062930821296748
5,3,5,3,.8893953,0.06846030594711351
5,3,6,1,-.06479755,0.0090207402066664
5,3,7,23,-.31060469,0.1044595036554518
5,3,8,17,-.31060469,0.10152477266388267
5,3,9,41,-.31060469,0.11928356476809976
5,3,10,11,-.31060469,0.06907092070423548
5,3,11,49,.8893953,0.46435767824114255
5,3,12,17,-.06479755,0.1033408667068771
5,3,13,24,-.31060469,0.09256194192337583
5,3,14,34,-.06479755,0.15916986822396184
5,3,15,29,-.31060469,0.10699919777945305
5,3,16,28,-.31060469,0.12658674375625842
5,3,17,18,.8893953,0.2816915979798423
5,3,18,31,-.31060469,0.1138092931739552
5,3,19,34,.8893953,0.4123171137808138
5,3,20,35,-.31060469,0.1033135672704666
6,1,1,33,-.31060469,0.06101179740723703
6,1,2,51,.8893953,0.1635218474937698
6,1,3,21,-.31060469,0.03275684844574327
6,1,4,19,-.31060469,0.020563829316984875
6,1,5,3,-.06479755,0.00894251183954662
6,1,6,1,.8893953,0.00794445743519665
6,1,7,23,-.31060469,0.035429851783270606
6,1,8,17,-.31060469,0.03443447002846137
6,1,9,41,-.31060469,0.04045777427637017
6,1,10,11,-.31060469,0.02342699704142602
6,1,11,49,-.06479755,0.06065593745175018
6,1,12,17,.8893953,0.09101105874464711
6,1,13,24,-.31060469,0.03139451910410977
6,1,14,34,.8893953,0.14017898909633109
6,1,15,29,-.31060469,0.036291247666262724
6,1,16,28,-.31060469,0.042934816001081184
6,1,17,18,-.06479755,0.03679548922818912
6,1,18,31,-.31060469,0.038601048708903934
6,1,19,34,-.06479755,0.05385822661208952
6,1,20,35,-.31060469,0.03504118100797189
7,23,1,33,-.51060468,0.9883747499223674
7,23,2,51,-.11060469,1.1902769462919738
7,23,3,21,-.06479755,0.8287461242327147
7,23,4,19,-.11060469,0.496969345862846
7,23,5,3,-.51060468,0.11329602209092086
7,23,6,1,-.51060468,0.0387631169067993
7,23,7,23,.8893953,2.327498575870445
7,23,8,17,.68939531,1.8520580702984861
7,23,9,41,.13520245,1.250202267912291
7,23,10,11,-.26479757,0.4852629305271129
7,23,11,49,-.11060469,1.1464265771188116
7,23,12,17,-.31060469,0.5423847961732594
7,23,13,24,-.31060469,0.6211844126469135
7,23,14,34,-.31060469,0.8354034496193455
7,23,15,29,.8893953,2.384086385020454
7,23,16,28,-.31060469,0.8495253063533488
7,23,17,18,-.31060469,0.5693883953343257
7,23,18,31,-.06479755,0.9766040088322204
7,23,19,34,-.31060469,0.8334241470749798
7,23,20,35,1.0893953,2.8116270942359263
8,17,1,33,-.31060469,0.9289672600314736
8,17,2,51,-.31060469,0.7499097497805689
8,17,3,21,-.06479755,0.6377366625444137
8,17,4,19,-.31060469,0.31310541547966875
8,17,5,3,-.31060469,0.10648622420042078
8,17,6,1,-.31060469,0.03643321170033678
8,17,7,23,.8893953,1.7910565497084465
8,17,8,17,.8893953,1.7407378235021698
8,17,9,41,-.06479755,0.787664478276158
8,17,10,11,-.06479755,0.4560956140632131
8,17,11,49,-.31060469,0.7222827177046529
8,17,12,17,-.31060469,0.4173759123719741
8,17,13,24,-.31060469,0.4780137880135819
8,17,14,34,-.31060469,0.6428596071343181
8,17,15,29,.8893953,1.8346019968517906
8,17,16,28,-.31060469,0.6537266573914904
8,17,17,18,-.31060469,0.43815572020710514
8,17,18,31,-.06479755,0.7515162520932245
8,17,19,34,-.31060469,0.6413364943716755
8,17,20,35,.8893953,1.771408391369051
9,41,1,33,-.81060469,0.91964383269126
9,41,2,51,.58939528,3.0105130638977067
9,41,3,21,.8893953,2.7027667625304868
9,41,4,19,.58939528,1.2569618463481484
9,41,5,3,-.81060469,0.10541749269955748
9,41,6,1,-.81060469,0.03606755575456406
9,41,7,23,-.06479755,1.1258359288869897
9,41,8,17,-.56479752,0.6636696293514581
9,41,9,41,1.7893953,8.21057322926941
9,41,10,11,.3893953,1.1724000812905704
9,41,11,49,.58939528,2.8996043298725747
9,41,12,17,-.31060469,0.6812301751888695
9,41,13,24,.089395314,1.1639242419849711
9,41,14,34,.089395314,1.5653102477355898
9,41,15,29,.33520246,1.720384277819807
9,41,16,28,-.31060469,1.0669957516464066
9,41,17,18,-.31060469,0.7151464403884326
9,41,18,31,1.2893953,4.751419268846724
9,41,19,34,.089395314,1.561601593482993
9,41,20,35,.83520246,2.738732034598357
10,11,1,33,-.31060469,0.6211825676600453
10,11,2,51,-.31060469,0.5014502490283818
10,11,3,21,.8893953,1.1072888465426178
10,11,4,19,-.31060469,0.2093675787124472
10,11,5,3,-.31060469,0.07120529324897795
10,11,6,1,-.31060469,0.024362189030591286
10,11,7,23,-.06479755,0.46124052743876
10,11,8,17,-.06479755,0.44828223429094854
10,11,9,41,.8893953,1.367605381401856
10,11,10,11,.8893953,0.7919092880661076
10,11,11,49,-.31060469,0.48297658320601206
10,11,12,17,-.31060469,0.2790912576594926
10,11,13,24,-.31060469,0.3196386406611588
10,11,14,34,-.31060469,0.42986787434370316
10,11,15,29,-.06479755,0.4724545368519314
10,11,16,28,-.31060469,0.43713446216878143
10,11,17,18,-.31060469,0.2929863161205107
10,11,18,31,.8893953,1.3048419713213286
10,11,19,34,-.31060469,0.42884939808792855
10,11,20,35,-.06479755,0.4561806498390614
11,49,1,33,-.81060469,1.0707897504706
11,49,2,51,.83520246,4.4820609781573895
11,49,3,21,-.31060469,0.9478502704639866
11,49,4,19,.58939528,1.4635468797343136
11,49,5,3,.3893953,0.4075215685669608
11,49,6,1,-.56479752,0.053697485836245035
11,49,7,23,-.31060469,1.025196140309279
11,49,8,17,-.81060469,0.6043434079355587
11,49,9,41,.58939528,2.8794174660003713
11,49,10,11,-.81060469,0.41115635634901826
11,49,11,49,1.7893953,11.209252942018823
11,49,12,17,-.06479755,1.0142175099122899
11,49,13,24,.089395314,1.35521829684273
11,49,14,34,.33520246,2.33043856400492
11,49,15,29,.089395314,1.5665971085421693
11,49,16,28,-.31060469,1.2423593504836912
11,49,17,18,.8893953,2.7646037832902848
11,49,18,31,.089395314,1.66630510612841
11,49,19,34,1.2893953,6.036819051663718
11,49,20,35,.58939528,2.493913479629193
12,17,1,33,-.51060468,0.7622948419766166
12,17,2,51,1.0893953,3.047914185993832
12,17,3,21,-.31060469,0.4998850690253044
12,17,4,19,-.11060469,0.38329304649020696
12,17,5,3,-.26479757,0.11172971023285581
12,17,6,1,.68939531,0.09925980191553643
12,17,7,23,-.31060469,0.5406763698153644
12,17,8,17,-.51060468,0.4302318568602094
12,17,9,41,-.11060469,0.7540999936132886
12,17,10,11,-.51060468,0.2927020636432228
12,17,11,49,.13520245,1.130577320752125
12,17,12,17,.8893953,1.3888719929204913
12,17,13,24,-.31060469,0.47909527607236996
12,17,14,34,.8893953,2.139197968216715
12,17,15,29,-.31060469,0.5538216802117796
12,17,16,28,-.31060469,0.6552056891504241
12,17,17,18,-.06479755,0.5615166459960036
12,17,18,31,-.31060469,0.5890703414359477
12,17,19,34,-.06479755,0.8219021244415066
12,17,20,35,-.11060469,0.6531391023590554
13,24,1,33,.48939529,2.668307836429094
13,24,2,51,-.01060468,1.3064635439618866
13,24,3,21,-.31060469,0.6437076148655938
13,24,4,19,1.1893953,1.81105752179524
13,24,5,3,-.71060467,0.09212459477636588
13,24,6,1,-.71060467,0.03151952179258334
13,24,7,23,-.31060469,0.6962350307974854
13,24,8,17,-.71060467,0.45358862464015626
13,24,9,41,-.01060468,1.0731906277447252
13,24,10,11,-.71060467,0.3085925050882582
13,24,11,49,-.01060468,1.2583328052355114
13,24,12,17,-.31060469,0.5386756296936607
13,24,13,24,1.1893953,2.764916936928697
13,24,14,34,-.01060468,1.119964956919686
13,24,15,29,-.01060468,0.962668549153073
13,24,16,28,.8893953,2.801234815122913
13,24,17,18,-.31060469,0.5654945613538246
13,24,18,31,-.01060468,1.0239387716320525
13,24,19,34,-.01060468,1.117311449216502
13,24,20,35,-.01060468,0.9295090428349648
14,34,1,33,-.71060467,1.0758463858463825
14,34,2,51,1.1893953,5.8065525339300725
14,34,3,21,-.31060469,0.861700492613126
14,34,4,19,-.01060468,0.7302079706899284
14,34,5,3,-.46479756,0.1576870238738527
14,34,6,1,.48939529,0.14008791620589836
14,34,7,23,-.31060469,0.9320164235403319
14,34,8,17,-.71060467,0.6071973241729384
14,34,9,41,-.01060468,1.4366287911453577
14,34,10,11,-.71060467,0.41309797726533587
14,34,11,49,.23520246,2.153852199130772
14,34,12,17,.8893953,2.3941336811873835
14,34,13,24,-.01060468,1.1147985976942276
14,34,14,34,1.1893953,4.977663087937341
14,34,15,29,-.01060468,1.2886781884684904
14,34,16,28,-.31060469,1.1294417458891202
14,34,17,18,-.06479755,0.9679408336973823
14,34,18,31,-.01060468,1.3706976949546401
14,34,19,34,.23520246,1.9124699856796181
14,34,20,35,-.01060468,1.2442891486789147
15,29,1,33,-.71060467,0.9260860193187779
15,29,2,51,-.01060468,1.5054490178221507
15,29,3,21,-.06479755,0.9484404947449978
15,29,4,19,-.01060468,0.6285612906707636
15,29,5,3,-.71060467,0.10615595158726421
15,29,6,1,-.71060467,0.036320212182095725
15,29,7,23,.8893953,2.6636551728801465
15,29,8,17,.48939529,1.7353387817219221
15,29,9,41,.23520246,1.5812418968298683
15,29,10,11,-.46479756,0.45468099593814654
15,29,11,49,-.01060468,1.4499875595384053
15,29,12,17,-.31060469,0.620720494953748
15,29,13,24,-.01060468,0.9596159909656624
15,29,14,34,-.01060468,1.2905451148502585
15,29,15,29,1.1893953,3.6829761813928217
15,29,16,28,-.31060469,0.972220778229445
15,29,17,18,-.31060469,0.6516241772749525
15,29,18,31,.23520246,1.5086740823441467
15,29,19,34,-.01060468,1.2874874554276097
15,29,20,35,1.1893953,3.5561145818695183
16,28,1,33,.68939531,4.00451666317495
16,28,2,51,-.11060469,1.4525233124845227
16,28,3,21,-.31060469,0.790940684006705
16,28,4,19,1.0893953,2.013529814224045
16,28,5,3,-.51060468,0.1382578347093823
