i_id,i_n,j_id,j_n,alpha,mu
1,27,1,23,-.06479755,5.537244996121031
1,27,2,41,-.31060469,5.147111667134753
1,27,3,19,-.31060469,3.5810625754944043
1,27,4,12,-.31060469,2.8890068299191753
2,43,1,23,-.81060469,3.2823423474429436
2,43,2,41,.58939528,15.820444193470905
2,43,3,19,-.06479755,5.722089628576254
2,43,4,12,-.56479752,2.7999100999493276
1,27,0,,0,9.845573931337036
2,43,0,,0,15.375213730560306
0,,1,23,0,14.180412656434797
0,,2,41,0,20.032444139394478
0,,3,19,0,9.696847795941238
0,,4,12,0,6.311083070130789
